transaction_id,customer_id,age,gender,annual_income,account_open_date,credit_score,segment,transaction_date,transaction_type,amount,merchant,merchant_category,channel,balance_after,is_fraud,transaction_month,transaction_dayofweek,is_large_tx,amount_log,year
14,12433,62,Male,187619,2025-01-26,398,Affluent,2025-10-08,debit,4425,"Conway, Caldwell and Garcia",Travel,mobile_app,69050,False,10,2,True,8.395251520610994,2025
15,15311,40,Female,62818,2015-12-28,577,Student,2025-10-11,debit,3367,Luna-Contreras,Travel,atm,32734,False,10,5,True,8.122074375362217,2025
16,15051,45,Female,120422,2017-04-01,754,Mass Market,2025-02-08,credit,4981,"Brown, Graham and Gibson",Entertainment,branch,71613,False,2,5,True,8.513586695822125,2025
17,16420,68,Male,91927,2020-03-06,403,Mass Market,2025-10-04,credit,4858,Leblanc-Jimenez,Groceries,atm,50546,False,10,5,True,8.488587934405903,2025
18,11184,57,Female,216753,2022-07-18,532,High Net Worth,2025-05-31,credit,2714,Baker-Hayes,Salary,atm,35120,False,5,5,False,7.906547232368036,2025
19,14555,71,Female,99465,2021-04-10,693,Affluent,2025-01-24,debit,1047,Aguilar-White,Healthcare,mobile_app,48484,False,1,4,False,6.954638864880987,2025
20,13385,22,Male,240934,2020-06-21,800,Mass Market,2025-05-02,debit,80,"Cunningham, Lee and Rivera",Restaurants,online,60563,False,5,4,False,4.394449154672439,2025
21,16396,37,Male,246599,2016-09-09,550,Mass Market,2025-03-03,debit,2884,King Group,Entertainment,atm,75036,True,3,0,False,7.9672801789422,2025
22,18666,57,Female,133221,2018-01-07,820,High Net Worth,2025-01-08,credit,115,"Spencer, Bennett and Murphy",Education,online,80528,False,1,2,False,4.7535901911063645,2025
23,19274,73,Male,57333,2023-01-21,378,Mass Market,2025-07-10,credit,779,Robinson-Kennedy,Utilities,atm,55113,False,7,3,False,6.659293919683638,2025
24,12558,61,Female,146457,2020-11-15,351,Affluent,2025-11-20,debit,2019,Rhodes-Williams,Restaurants,mobile_app,53096,False,11,3,False,7.61085279039525,2025
25,17849,18,Male,36576,2019-02-08,525,Mass Market,2025-12-04,debit,2950,"Giles, Cole and Lewis",Transfers,atm,10133,False,12,3,False,7.989899374942939,2025
26,12047,74,Male,139875,2023-11-15,350,Mass Market,2025-08-07,debit,2202,"Benson, Castro and Perez",Travel,branch,6405,False,8,3,False,7.697575346802343,2025
27,12747,47,Male,59405,2024-04-30,485,Student,2025-11-17,debit,3505,"Hall, Dean and Noble",Salary,atm,30269,False,11,0,True,8.16223106548118,2025
28,19167,38,Male,114000,2024-11-13,333,Mass Market,2025-04-27,debit,4321,Garcia-Anderson,Education,atm,82410,False,4,6,True,8.371473537066832,2025
29,19998,37,Male,224851,2020-07-11,430,Affluent,2025-05-28,debit,4365,Nelson-Medina,Entertainment,online,96993,True,5,2,True,8.38160253710989,2025
30,10189,23,Male,51601,2022-01-04,742,High Net Worth,2025-01-25,debit,943,"Stevenson, Rivera and Jackson",Healthcare,online,17085,False,1,5,False,6.8501261661455,2025
31,12734,39,Female,87946,2016-05-30,731,Mass Market,2025-11-07,debit,584,Perez-Lester,Healthcare,branch,35702,False,11,4,False,6.371611847231857,2025
32,13005,35,Other,218428,2022-04-05,796,Mass Market,2024-12-21,debit,3940,Jones-Gardner,Online Retail,atm,79883,False,12,5,True,8.279189777195004,2024
33,14658,25,Female,72116,2025-09-17,702,Affluent,2025-07-15,debit,4390,Walker-Beck,Travel,online,13502,False,7,1,True,8.387312270561717,2025
34,11899,56,Female,124186,2023-11-03,622,Mass Market,2025-05-30,debit,4097,Boyer Inc,Restaurants,atm,46479,False,5,4,True,8.318254328798846,2025
35,17734,49,Male,82894,2025-03-16,509,Mass Market,2025-11-06,debit,2541,Johnson LLC,Transfers,mobile_app,79384,False,11,3,False,7.8407064517494,2025
36,11267,50,Other,185707,2023-08-14,628,Mass Market,2024-12-09,credit,2429,Hughes-Gutierrez,Transfers,mobile_app,87957,False,12,0,False,7.795646536334594,2024
37,11528,70,Male,27465,2021-07-14,671,Affluent,2025-10-10,credit,79,Logan-Walker,Travel,branch,14426,False,10,4,False,4.382026634673881,2025
38,13556,33,Female,76754,2016-04-29,759,Affluent,2024-12-16,debit,4484,Simmons Group,Investment,mobile_app,70231,False,12,0,True,8.408493774492896,2024
39,13890,29,Other,249047,2024-09-27,432,Affluent,2025-06-13,debit,1312,"Ware, Mullins and Valenzuela",Online Retail,online,15860,False,6,4,False,7.180069874302796,2025
40,18838,55,Female,112850,2022-10-06,420,Mass Market,2025-09-29,debit,3824,Mclean-Martinez,Investment,online,46865,False,9,0,True,8.249313746260636,2025
41,15393,69,Other,129765,2022-10-31,751,Affluent,2025-04-02,debit,2359,Jackson-Barker,Investment,branch,47404,False,4,2,False,7.7664168980196555,2025
42,18792,51,Female,236191,2016-04-26,428,Student,2024-12-15,credit,264,Zamora Inc,Online Retail,atm,91246,False,12,6,False,5.579729825986222,2024
43,18433,31,Male,112691,2022-06-27,390,Affluent,2025-05-21,credit,1717,Dennis Ltd,Salary,online,57423,False,5,2,False,7.4489161025442,2025
44,17513,53,Male,58871,2019-06-13,328,Affluent,2025-05-20,debit,4797,Faulkner and Sons,Restaurants,mobile_app,90947,False,5,1,True,8.47595444339964,2025
45,12612,50,Female,213946,2023-03-02,823,Affluent,2025-06-18,credit,843,"Hughes, Holder and Mathews",Online Retail,online,74379,False,6,2,False,6.738152494595957,2025
46,17041,40,Male,228805,2020-03-02,632,High Net Worth,2025-12-06,credit,2774,Robinson PLC,Entertainment,branch,31152,False,12,5,False,7.928406026180535,2025
47,19555,67,Female,49511,2025-06-13,596,Student,2025-02-23,credit,2481,"Park, Gordon and Waters",Online Retail,mobile_app,81109,False,2,6,False,7.8168199657645525,2025
48,16235,62,Other,100960,2019-06-16,429,Mass Market,2025-11-17,debit,3752,"Jordan, Hernandez and Fuller",Salary,mobile_app,30737,False,11,0,True,8.23031079913502,2025
49,15486,19,Male,199893,2018-11-12,592,Mass Market,2025-08-02,debit,2045,"Lane, Mason and Schmidt",Healthcare,mobile_app,54325,False,8,5,False,7.6236419465115715,2025
50,17099,58,Female,85776,2017-01-12,472,Mass Market,2025-10-06,debit,1977,Dawson-Mckinney,Rent,branch,38767,False,10,0,False,7.589841512182657,2025
51,19670,38,Female,221239,2022-06-17,323,Mass Market,2025-09-06,debit,109,Moore-Woods,Groceries,branch,93792,False,9,5,False,4.700480365792417,2025
52,10775,19,Female,226207,2018-07-06,398,Mass Market,2025-01-25,debit,1862,Cline Group,Healthcare,atm,41705,False,1,5,False,7.529943370601589,2025
53,18226,44,Other,64462,2023-06-21,705,High Net Worth,2024-12-23,credit,3193,"Green, Freeman and Zimmerman",Healthcare,atm,2002,False,12,0,True,8.069029328774958,2024
54,13152,74,Female,212454,2023-08-15,655,Mass Market,2025-09-16,debit,2365,"Gardner, Kirby and Poole",Utilities,atm,82159,False,9,1,False,7.768956044538332,2025
55,11585,26,Other,241266,2025-01-11,438,Affluent,2025-08-17,credit,121,"Richards, Herman and Soto",Utilities,branch,60237,False,8,6,False,4.804021044733257,2025
56,13943,18,Female,52574,2022-04-04,802,Affluent,2025-12-04,debit,3168,"Gomez, Freeman and Kelly",Travel,mobile_app,55713,False,12,3,True,8.06117135969092,2025
57,17555,28,Male,122072,2018-10-08,473,Mass Market,2025-02-13,debit,192,Dunn LLC,Utilities,mobile_app,41815,False,2,3,False,5.262690188904886,2025
58,13073,20,Male,192982,2024-01-29,328,Student,2025-10-19,credit,3862,Maldonado-Dominguez,Travel,online,64997,False,10,6,True,8.259199362666282,2025
59,11021,69,Female,224603,2021-07-19,795,High Net Worth,2025-09-02,debit,174,Lewis-Martinez,Healthcare,atm,60859,False,9,1,False,5.1647859739235145,2025
60,13843,40,Male,176258,2019-07-08,650,Mass Market,2025-09-11,debit,2147,Fowler-Wright,Groceries,mobile_app,63236,False,9,3,False,7.672292455628756,2025
61,17989,43,Female,245853,2016-01-25,598,Mass Market,2025-12-06,credit,2033,Miller-Howell,Restaurants,mobile_app,87787,False,12,5,False,7.617759576608505,2025
62,19692,21,Female,173885,2018-06-20,491,Mass Market,2025-08-21,credit,464,Robertson and Sons,Restaurants,mobile_app,78243,False,8,3,False,6.142037405587356,2025
63,16873,35,Male,229884,2016-05-05,363,Affluent,2025-04-20,debit,2295,Yoder-Williams,Investment,mobile_app,89653,False,4,6,False,7.738923757439457,2025
64,15675,72,Female,236597,2023-12-08,514,Mass Market,2025-01-17,credit,4832,Davis-Mills,Rent,branch,22743,False,1,4,True,8.483222671845084,2025
65,10161,23,Female,98282,2022-06-06,465,Affluent,2024-12-18,debit,551,Fisher-Cook,Education,atm,56739,False,12,2,False,6.313548046277095,2024
66,14297,52,Female,129779,2017-12-18,842,High Net Worth,2025-03-15,credit,2675,"Scott, Hunter and Tucker",Restaurants,mobile_app,76326,False,3,5,False,7.892078421248119,2025
67,10995,39,Male,38557,2024-06-12,531,Mass Market,2025-07-15,credit,2459,Chavez-Alvarez,Investment,mobile_app,98156,False,7,1,False,7.807916628926408,2025
68,17629,60,Male,179132,2020-08-22,840,High Net Worth,2025-09-08,debit,4947,"Jones, Brewer and Perry",Salary,mobile_app,81132,False,9,0,True,8.506738733512378,2025
69,19467,32,Male,209938,2021-06-23,494,Mass Market,2024-12-11,debit,3943,Madden-Miller,Investment,mobile_app,30339,False,12,2,True,8.279950715722526,2024
70,11016,39,Female,92104,2019-04-15,805,Student,2025-09-28,debit,2896,Davenport-Edwards,Education,online,34121,False,9,6,False,7.9714309977693505,2025
71,17869,54,Male,235649,2022-09-03,633,Mass Market,2025-05-23,debit,4624,Gould-Blackwell,Online Retail,mobile_app,42995,False,5,4,True,8.439231649946526,2025
72,16439,69,Female,157152,2017-09-03,603,Affluent,2025-08-13,credit,4302,"Ellis, Vazquez and Smith",Transfers,mobile_app,52032,False,8,2,True,8.3670677328386,2025
73,17892,59,Male,164926,2023-03-16,736,Mass Market,2025-12-02,debit,3914,Murray Ltd,Healthcare,mobile_app,49831,False,12,1,True,8.272570608424903,2025
74,16863,29,Male,142013,2017-01-18,622,High Net Worth,2025-08-17,credit,1698,Vega-Hernandez,Groceries,online,41446,False,8,6,False,7.4377951216719325,2025
75,17916,64,Female,218767,2022-01-17,801,Affluent,2025-05-06,credit,1647,Brooks Inc,Travel,branch,45678,False,5,1,False,7.4073177104694174,2025
76,18529,66,Female,178097,2020-11-01,692,Mass Market,2025-07-10,credit,4738,Douglas and Sons,Education,online,20698,False,7,3,True,8.463581421967588,2025
77,10878,59,Male,204054,2021-03-14,448,Affluent,2025-01-03,credit,4680,"Hill, Torres and Hawkins",Investment,mobile_app,80252,False,1,4,True,8.45126704130007,2025
78,19268,55,Male,61081,2019-08-21,704,Mass Market,2025-10-27,debit,4092,Wu-Sherman,Rent,branch,96342,False,10,0,True,8.317033476492403,2025
79,14887,35,Male,155440,2022-02-16,582,Affluent,2025-01-11,debit,1900,"Miller, Watkins and Barron",Restaurants,mobile_app,83404,False,1,5,False,7.550135342488429,2025
80,14859,62,Female,139181,2016-11-05,661,High Net Worth,2025-07-18,debit,3215,"Perez, Santiago and Munoz",Entertainment,branch,47918,False,7,4,True,8.075893630298857,2025
81,16331,52,Female,47094,2024-12-18,678,Mass Market,2025-02-27,debit,487,Cross-Cunningham,Restaurants,mobile_app,96666,False,2,3,False,6.1903154058531475,2025
82,18571,47,Male,197112,2024-05-01,497,Mass Market,2025-03-13,debit,2376,"Sanders, Butler and Flores",Utilities,mobile_app,57235,False,3,3,False,7.773594467360194,2025
83,18684,41,Male,86766,2020-12-27,655,Mass Market,2025-04-26,debit,2536,Williams and Sons,Healthcare,branch,6125,False,4,5,False,7.838737559599282,2025
84,17208,59,Male,103053,2021-09-08,839,Affluent,2025-10-19,debit,376,"Brown, Love and Pruitt",Utilities,branch,47511,False,10,6,False,5.932245187448011,2025
85,15276,47,Female,175063,2020-04-09,728,Mass Market,2024-12-24,credit,1846,Myers-Rice,Restaurants,mobile_app,29046,False,12,1,False,7.52131798019924,2024
86,12062,31,Other,21301,2024-05-30,316,Mass Market,2025-03-04,credit,1725,Gray-Morton,Entertainment,online,88296,False,3,1,False,7.453561871643373,2025
87,10064,23,Male,179682,2019-06-29,678,Mass Market,2025-01-19,debit,22,"Johnson, Olsen and Anderson",Utilities,online,10114,False,1,6,False,3.1354942159291497,2025
88,18006,20,Female,101463,2018-12-15,805,Mass Market,2025-09-08,debit,545,Fields LLC,Groceries,online,637,False,9,0,False,6.302618975744905,2025
89,12568,33,Male,185750,2021-12-19,375,Student,2025-09-01,debit,3249,Wagner and Sons,Investment,online,38634,False,9,0,True,8.086410275323782,2025
90,15463,24,Male,44466,2017-07-17,530,Mass Market,2025-06-24,debit,2327,Martin-Wilkerson,Utilities,branch,88713,False,6,1,False,7.752764808851328,2025
91,12027,69,Female,231512,2022-11-16,547,Affluent,2024-12-27,credit,4052,Phillips Group,Entertainment,branch,35776,False,12,4,True,8.307212626628308,2024
92,12695,31,Female,191947,2021-10-26,601,Affluent,2025-09-23,debit,385,Graham Inc,Utilities,online,23600,False,9,1,False,5.955837369464831,2025
93,19687,26,Female,46081,2024-11-20,514,Affluent,2025-01-13,credit,1734,Reid Ltd,Education,atm,81787,False,1,0,False,7.45876269238096,2025
94,15258,32,Female,44354,2021-05-09,457,Mass Market,2025-09-11,debit,266,"Williams, Lane and Spencer",Online Retail,atm,26809,True,9,3,False,5.58724865840025,2025
95,15618,38,Male,113297,2018-07-14,368,Affluent,2025-03-16,debit,2274,Booth LLC,Travel,atm,23756,False,3,6,False,7.729735331385051,2025
96,16736,52,Female,38300,2016-01-03,692,High Net Worth,2025-07-31,debit,459,Davis Group,Restaurants,mobile_app,59469,False,7,3,False,6.131226489483141,2025
97,10391,19,Male,84384,2023-12-08,384,Mass Market,2025-06-26,debit,903,Garcia-Joyce,Education,online,38368,False,6,3,False,6.806829360392176,2025
98,15892,44,Female,115027,2025-02-05,566,Mass Market,2025-10-17,debit,3222,Martinez-Espinoza,Travel,mobile_app,77185,False,10,4,True,8.078067881815437,2025
99,13561,19,Male,141684,2017-09-27,368,Mass Market,2025-10-24,credit,1194,"Clements, Rasmussen and Garrison",Online Retail,branch,76902,False,10,4,False,7.085901464365611,2025
100,16184,52,Female,80892,2025-01-29,646,Mass Market,2025-02-08,credit,3233,Hunt PLC,Education,branch,11880,False,2,5,True,8.081475040137052,2025
101,13099,35,Male,55525,2025-07-20,722,Mass Market,2024-12-29,debit,1318,"Fleming, Williams and Johnson",Rent,atm,83319,False,12,6,False,7.1846291527173145,2024
102,16278,31,Male,177604,2023-06-29,473,Affluent,2025-10-09,credit,4715,Webb LLC,Education,atm,57155,False,10,3,True,8.458716261657262,2025
103,18392,37,Female,26464,2019-06-09,414,Mass Market,2025-09-03,debit,926,"Greene, Wright and Elliott",Groceries,branch,87762,False,9,2,False,6.831953565565855,2025
104,13104,35,Male,36562,2024-11-22,519,Affluent,2025-03-10,credit,157,Winters LLC,Investment,atm,65316,False,3,0,False,5.062595033026967,2025
105,17215,27,Female,127392,2019-10-08,330,Affluent,2025-06-12,debit,4761,Kennedy LLC,Entertainment,atm,70856,False,6,3,True,8.468423027046809,2025
106,12454,42,Male,75514,2020-06-08,822,Mass Market,2024-12-31,credit,2124,"Shah, Valenzuela and Simpson",Restaurants,branch,8727,False,12,1,False,7.661527081358517,2024
107,18996,19,Male,133428,2017-09-01,642,Affluent,2025-04-17,debit,4026,Moss-Floyd,Healthcare,mobile_app,77260,False,4,3,True,8.300776960851454,2025
108,12731,42,Male,132564,2019-09-21,676,Mass Market,2025-11-17,debit,3950,Peterson-Anderson,Travel,atm,39211,False,11,0,True,8.281723990411392,2025
109,18154,71,Male,128047,2019-04-24,429,Student,2025-10-17,debit,4081,"Greene, Winters and Miller",Utilities,mobile_app,85469,False,10,4,True,8.31434234336979,2025
110,19762,50,Female,225291,2024-06-12,838,Mass Market,2025-01-31,debit,2805,"Reid, Shields and Johnson",Restaurants,atm,78930,False,1,4,False,7.939515260662406,2025
111,15056,53,Male,52634,2024-09-13,301,Affluent,2025-08-22,debit,452,"Alexander, Lee and Duncan",Healthcare,online,41417,False,8,4,False,6.115892125483034,2025
112,18110,48,Female,20060,2016-12-28,400,High Net Worth,2025-11-16,debit,2954,Clark-Hart,Online Retail,mobile_app,84658,False,11,6,False,7.991253929840199,2025
113,13840,31,Female,29269,2024-02-25,832,Mass Market,2025-04-02,credit,3946,Kirby-Pacheco,Education,mobile_app,62827,False,4,2,True,8.280711075662847,2025
114,11028,18,Male,214215,2020-08-01,357,Mass Market,2025-01-02,credit,408,Mora-Davis,Healthcare,atm,31437,False,1,3,False,6.013715156042802,2025
115,17385,63,Female,43065,2022-02-28,688,Affluent,2025-02-24,credit,1161,"Jones, Norton and Downs",Salary,mobile_app,20519,False,2,0,False,7.057897937411856,2025
116,10502,33,Female,22895,2019-03-19,640,Mass Market,2025-04-07,credit,3802,"James, West and Sherman",Rent,online,7983,False,4,0,True,8.24354550792826,2025
117,16910,71,Female,100859,2016-05-02,319,High Net Worth,2025-01-26,credit,3005,Daniel-Carter,Restaurants,branch,44656,False,1,6,True,8.00836557031292,2025
118,19062,63,Male,163424,2025-01-29,554,Student,2025-03-07,debit,2226,Morris-Barnes,Restaurants,online,5635,False,3,4,False,7.708410667257367,2025
119,16938,69,Male,200809,2024-06-28,616,Mass Market,2025-10-01,debit,1717,Pugh-Tran,Restaurants,branch,19622,False,10,2,False,7.4489161025442,2025
120,14488,20,Female,124127,2016-09-14,337,Mass Market,2024-12-11,credit,3341,Dickson-Cox,Salary,online,74975,False,12,2,True,8.114324709155339,2024
121,10206,52,Female,116426,2020-07-19,836,Mass Market,2025-01-29,credit,1997,Collins-Rogers,Investment,online,93445,False,1,2,False,7.599901959208498,2025
122,15134,58,Female,183088,2023-09-10,685,Mass Market,2025-01-23,debit,4612,Scott-Martinez,Entertainment,mobile_app,60666,False,1,3,True,8.43663368355782,2025
123,15977,23,Male,212376,2024-09-17,325,Affluent,2025-02-14,debit,2578,Matthews Group,Online Retail,online,56005,False,2,4,False,7.8551570058813445,2025
124,17721,42,Female,31962,2019-05-20,753,Affluent,2025-11-10,debit,170,Myers Group,Investment,atm,98429,False,11,0,False,5.14166355650266,2025
125,17035,30,Male,53302,2018-04-03,622,Mass Market,2025-03-30,credit,4445,Martin and Sons,Entertainment,atm,11403,False,3,6,True,8.399760094524142,2025
126,11484,70,Female,105382,2022-02-23,812,Mass Market,2025-01-08,debit,3914,Compton-Donovan,Restaurants,atm,60477,True,1,2,True,8.272570608424903,2025
127,17858,51,Male,24011,2019-03-23,312,Mass Market,2025-11-02,credit,3583,Mendez PLC,Rent,atm,99610,False,11,6,True,8.18423477409482,2025
128,10863,25,Female,149716,2016-12-09,670,Mass Market,2024-12-31,credit,3187,"Paul, Salas and Gilmore",Utilities,mobile_app,65035,False,12,1,True,8.067149039910106,2024
129,12790,38,Male,39782,2020-11-18,590,High Net Worth,2025-06-21,debit,1835,"Moore, Mcfarland and Green",Salary,atm,32903,False,6,5,False,7.515344571180436,2025
130,17408,51,Male,218763,2019-05-12,631,Mass Market,2025-04-01,debit,3934,Donaldson-Espinoza,Rent,online,92489,False,4,1,True,8.277666160851503,2025
131,18755,21,Female,140654,2019-09-09,560,High Net Worth,2025-10-16,debit,1633,Brown-Blevins,Travel,atm,7311,False,10,3,False,7.3987862754199485,2025
132,15116,42,Male,190797,2024-05-19,504,Affluent,2025-01-30,debit,1186,Mullins Ltd,Online Retail,mobile_app,50611,False,1,3,False,7.079184394609668,2025
133,16019,32,Male,29196,2019-06-05,686,Affluent,2025-07-26,debit,4928,Callahan and Sons,Education,branch,97561,False,7,5,True,8.502891406705377,2025
134,11757,21,Male,63459,2015-12-18,767,Mass Market,2025-06-23,credit,3730,Frederick LLC,Salary,online,20615,False,6,0,True,8.224431573221159,2025
135,17574,62,Female,107245,2020-10-23,714,Affluent,2025-11-18,debit,4890,"Sandoval, Peterson and Jones",Restaurants,online,56808,False,11,1,True,8.495152060539358,2025
136,16374,29,Female,98863,2020-06-11,368,Affluent,2025-09-26,debit,3230,"Sandoval, Monroe and Kramer",Healthcare,mobile_app,33580,False,9,4,True,8.080546965824498,2025
137,16892,49,Male,143206,2023-10-17,771,Affluent,2025-02-04,debit,3269,Cole Ltd,Utilities,branch,57052,False,2,1,True,8.0925452638913,2025
138,11678,49,Female,121010,2017-04-26,403,Mass Market,2025-12-01,credit,140,"Beltran, Taylor and Martinez",Education,atm,91856,False,12,0,False,4.948759890378168,2025
139,13242,45,Female,52769,2020-01-09,460,Mass Market,2025-01-02,debit,3572,"Villarreal, Boyer and Keith",Transfers,branch,42898,False,1,3,True,8.181160858023409,2025
140,14636,30,Male,127529,2021-04-03,499,Affluent,2025-08-07,credit,1509,Johnson-Martinez,Investment,online,23952,False,8,3,False,7.31986492980897,2025
141,11059,48,Female,44700,2023-04-16,515,Mass Market,2025-10-06,debit,2798,Goodman-Ramirez,Rent,online,82790,False,10,0,False,7.937017489515454,2025
142,16668,31,Female,231428,2020-08-22,511,Mass Market,2025-09-27,debit,4886,Roberts PLC,Utilities,online,15227,False,9,5,True,8.494333897270154,2025
143,19914,37,Female,227499,2021-11-21,807,Student,2025-05-19,debit,3718,"Small, Allen and Martin",Transfers,branch,13760,False,5,0,True,8.22121009392507,2025
144,13157,35,Male,25269,2025-04-16,315,Mass Market,2025-01-11,debit,1717,Powell-Joseph,Entertainment,atm,8826,False,1,5,False,7.4489161025442,2025
145,15915,46,Female,141631,2024-04-28,797,Mass Market,2024-12-16,debit,1779,"Parker, Hoover and Green",Transfers,online,79475,True,12,0,False,7.484368643286131,2024
146,19789,23,Female,63880,2024-11-06,631,Mass Market,2024-12-16,debit,1328,Mayer-Cooper,Education,mobile_app,98972,False,12,0,False,7.192182058713246,2024
147,12693,49,Male,134003,2017-09-26,555,Affluent,2025-06-09,debit,3389,Lee-Gonzales,Online Retail,atm,83213,False,6,0,True,8.128585200374497,2025
148,13627,46,Male,159392,2022-12-14,471,Mass Market,2025-02-12,debit,2783,Anderson-Walters,Rent,online,60432,False,2,2,False,7.931644021454311,2025
149,19555,60,Male,69589,2021-03-11,797,Affluent,2025-09-04,debit,3000,Davis-Hamilton,Utilities,atm,73996,False,9,3,False,8.006700845440367,2025
150,15450,19,Male,227348,2018-11-26,770,Mass Market,2025-03-16,credit,3054,Peters-Rogers,Transfers,mobile_app,58204,False,3,6,True,8.024534871605695,2025
151,11663,40,Female,55897,2018-09-04,683,Mass Market,2025-11-08,debit,385,Fletcher-Fisher,Rent,branch,8673,False,11,5,False,5.955837369464831,2025
152,19721,36,Male,209637,2018-10-30,806,Affluent,2025-02-27,debit,3046,Gray-Garcia,Utilities,online,93402,False,2,3,True,8.021912778985708,2025
153,15592,48,Male,182002,2021-02-25,826,Mass Market,2025-07-29,credit,670,Hogan Inc,Investment,mobile_app,36158,False,7,1,False,6.508769136971682,2025
154,17392,68,Female,208305,2019-01-19,624,Student,2024-12-12,credit,1413,"Cardenas, Wells and Miller",Utilities,online,74989,False,12,3,False,7.254177846456518,2024
155,11306,22,Male,233893,2017-01-16,513,Mass Market,2025-04-17,credit,750,Smith-Lopez,Investment,online,15904,False,4,3,False,6.621405651764134,2025
156,16776,36,Other,34380,2022-11-16,507,Mass Market,2025-05-13,debit,313,Miller-Saunders,Education,branch,15396,False,5,1,False,5.749392985908253,2025
157,15864,51,Male,227968,2020-03-03,468,Mass Market,2025-09-26,credit,1095,Clarke-Carrillo,Rent,branch,93906,False,9,4,False,6.999422467507961,2025
158,19474,27,Male,90934,2022-08-08,629,Mass Market,2025-07-27,debit,4891,"Mcdonald, Fox and Bradford",Education,atm,87469,False,7,6,True,8.495356496807062,2025
159,17526,42,Male,75830,2019-10-20,579,Student,2025-05-27,debit,3189,"Mitchell, Washington and Jordan",Investment,mobile_app,54039,False,5,1,True,8.06777619577889,2025
160,18901,19,Male,25529,2023-08-05,604,High Net Worth,2025-05-21,credit,1220,Norton-Snyder,Transfers,mobile_app,95885,False,5,2,False,7.107425474110705,2025
161,15575,28,Male,114598,2023-05-26,445,Mass Market,2025-06-05,debit,3044,Walter Group,Travel,branch,4334,False,6,3,True,8.021256180143997,2025
162,15530,67,Female,102987,2017-10-22,815,Affluent,2025-05-30,debit,238,Stewart Inc,Online Retail,online,96996,False,5,4,False,5.476463551931511,2025
163,14413,48,Other,69178,2019-06-27,389,Affluent,2024-12-09,debit,3129,"Anderson, Jacobs and Miller",Travel,atm,27268,False,12,0,True,8.048788283534199,2024
164,13748,73,Male,158009,2016-04-14,752,Mass Market,2025-09-18,credit,1864,Roman-Ramirez,Groceries,branch,64636,False,9,3,False,7.5310163320779155,2025
165,10663,32,Female,141952,2023-09-05,359,Mass Market,2025-03-18,debit,277,Bates PLC,Restaurants,atm,22068,False,3,1,False,5.627621113690637,2025
166,11998,26,Female,59886,2020-09-22,610,Student,2025-10-30,debit,2784,Chapman-Clay,Salary,atm,28247,False,10,3,False,7.932003152361385,2025
167,17994,40,Female,69699,2019-07-26,827,Student,2025-10-29,debit,2859,Wyatt-Saunders,Travel,mobile_app,65121,False,10,2,False,7.958576903813898,2025
168,11495,36,Male,96396,2023-06-20,526,Student,2025-06-11,debit,4359,Wright-Sanchez,Entertainment,atm,88670,False,6,2,True,8.38022733634308,2025
169,13304,26,Male,110678,2018-08-18,773,Affluent,2024-12-08,credit,4975,George-Brooks,Online Retail,mobile_app,16285,False,12,6,True,8.512381634419015,2024
